datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-01-02 11:30:00,13,1,0,3,1,1,0,0,0,0,0,0,0,0,19
2023-01-02 11:45:00,7,1,0,1,1,1,0,0,0,0,0,0,0,0,11
2023-01-02 12:00:00,21,10,0,9,2,11,0,0,0,0,0,0,0,0,53
2023-01-02 12:15:00,20,7,0,6,4,5,0,0,0,0,0,0,0,0,42
2023-01-02 12:30:00,17,3,0,7,5,2,0,0,0,0,0,0,0,0,34
2023-01-02 12:45:00,6,2,0,2,3,1,0,0,0,0,0,0,0,0,14
2023-01-02 13:00:00,22,1,0,3,4,8,0,0,0,0,0,0,0,0,38
2023-01-02 13:15:00,18,1,0,5,8,11,0,0,0,0,0,0,0,0,43
2023-01-02 13:30:00,5,2,0,2,1,1,0,0,0,0,0,0,0,0,11
2023-01-02 13:45:00,12,2,0,3,9,5,0,0,0,0,0,0,0,0,31
2023-01-03 11:30:00,5,4,3,4,0,2,0,0,0,0,0,0,0,0,18
2023-01-03 11:45:00,2,8,7,6,6,3,0,0,0,1,0,0,0,0,33
2023-01-03 12:00:00,24,24,16,17,11,8,0,0,0,1,0,0,0,0,101
2023-01-03 12:15:00,15,19,10,15,13,5,0,0,0,1,0,0,0,0,78
2023-01-03 12:30:00,14,19,16,8,6,5,0,0,0,2,0,0,0,0,70
2023-01-03 12:45:00,25,18,9,13,16,5,0,0,0,1,0,0,0,0,87
2023-01-03 13:00:00,13,13,10,8,6,7,0,0,0,1,0,0,0,0,58
2023-01-03 13:15:00,17,20,8,11,5,7,0,0,0,1,0,0,0,0,69
2023-01-03 13:30:00,8,5,4,4,5,3,0,0,0,0,0,0,0,0,29
2023-01-03 13:45:00,9,4,3,1,5,3,0,0,0,0,0,0,0,0,25
2023-01-03 14:00:00,1,2,2,4,1,2,0,0,0,0,0,0,0,0,12
2023-01-04 11:30:00,15,9,6,6,10,2,0,0,0,0,0,0,0,0,48
2023-01-04 11:45:00,3,2,11,3,6,5,0,0,0,1,0,0,0,0,31
2023-01-04 12:00:00,15,4,7,6,10,3,0,0,0,1,0,0,0,0,46
2023-01-04 12:15:00,17,12,17,15,17,9,0,0,0,2,0,0,0,0,89
2023-01-04 12:30:00,21,6,14,16,27,13,0,0,0,1,0,0,0,0,98
2023-01-04 12:45:00,22,16,28,14,36,13,0,0,0,2,0,0,0,0,131
2023-01-04 13:00:00,21,9,16,13,6,13,0,0,0,2,0,0,0,0,80
2023-01-04 13:15:00,24,3,1,6,5,10,0,0,0,0,0,0,0,0,49
2023-01-04 13:30:00,45,21,2,13,13,12,0,0,0,0,0,0,0,0,106
2023-01-04 13:45:00,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5
2023-01-04 14:00:00,8,4,0,3,1,1,0,0,0,0,0,0,0,0,17
2023-01-05 11:30:00,28,17,0,4,6,3,0,0,0,0,0,0,0,0,58
2023-01-05 11:45:00,19,5,0,2,4,0,0,0,0,0,0,0,0,0,30
2023-01-05 12:00:00,33,9,0,10,7,7,0,0,0,0,0,0,0,0,66
2023-01-05 12:15:00,49,19,0,17,27,12,0,0,0,0,1,0,0,0,125
2023-01-05 12:30:00,72,17,0,32,24,16,0,0,0,0,1,0,0,0,162
2023-01-05 12:45:00,48,11,0,21,28,8,0,0,0,0,1,0,0,0,117
2023-01-05 13:00:00,44,15,0,13,16,6,0,0,0,0,0,0,0,0,94
2023-01-05 13:15:00,38,4,0,5,18,11,0,0,0,0,0,0,0,0,76
2023-01-05 13:30:00,31,14,0,5,12,8,0,0,0,0,0,0,0,0,70
2023-01-05 13:45:00,14,5,0,1,7,1,0,0,0,0,0,0,0,0,28
2023-01-05 14:00:00,3,1,0,0,2,0,0,0,0,0,0,0,0,0,6
2023-01-06 11:30:00,22,7,0,6,6,0,0,0,0,0,0,0,0,0,41
2023-01-06 11:45:00,16,3,0,6,6,3,0,0,0,0,0,0,0,0,34
2023-01-06 12:00:00,37,10,0,12,9,13,0,0,0,0,0,0,0,0,81
2023-01-06 12:15:00,29,5,0,9,12,9,0,0,0,0,0,0,0,0,64
2023-01-06 12:30:00,50,13,0,15,22,14,0,0,0,0,1,0,0,0,115
2023-01-06 12:45:00,44,10,0,23,15,12,0,0,0,0,0,0,0,0,104
2023-01-06 13:00:00,54,18,0,20,12,15,0,0,0,0,0,0,0,0,119
2023-01-06 13:15:00,20,7,0,11,4,7,0,0,0,0,0,0,0,0,49
2023-01-06 13:30:00,19,0,0,6,1,2,0,0,0,0,0,0,0,0,28
2023-01-06 13:45:00,18,0,0,3,3,7,0,0,0,0,0,0,0,0,31
2023-01-06 14:00:00,17,0,0,6,4,5,0,0,0,0,0,0,0,0,32
2023-01-09 11:30:00,40,37,33,24,19,9,0,0,0,3,0,0,0,0,165
2023-01-09 11:45:00,33,32,19,21,18,10,0,0,0,2,0,0,0,0,135
2023-01-09 12:00:00,44,44,37,33,15,27,0,0,0,3,0,0,0,0,203
2023-01-09 12:15:00,57,75,35,38,31,24,0,0,0,2,0,0,0,0,262
2023-01-09 12:30:00,45,56,37,36,23,28,0,0,0,3,0,0,0,0,228
2023-01-09 12:45:00,59,49,28,32,37,22,0,0,0,2,0,0,0,0,229
2023-01-09 13:00:00,52,62,37,35,29,15,0,0,0,3,0,0,0,0,233
2023-01-09 13:15:00,45,64,41,18,23,18,0,0,0,3,0,0,0,0,212
2023-01-09 13:30:00,49,50,29,24,19,24,0,0,0,2,0,0,0,0,197
2023-01-09 13:45:00,52,47,30,8,7,19,0,0,0,2,0,0,0,0,165
2023-01-09 14:00:00,31,34,17,4,11,17,0,0,0,1,0,0,0,0,115
2023-01-10 11:30:00,69,33,0,18,13,16,0,0,0,0,1,0,0,0,150
2023-01-10 11:45:00,80,32,0,14,25,14,0,0,0,0,1,0,0,0,166
2023-01-10 12:00:00,73,27,0,17,26,22,0,0,0,0,1,0,0,0,166
2023-01-10 12:15:00,100,44,0,34,34,20,0,0,0,0,1,0,0,0,233
2023-01-10 12:30:00,75,40,0,19,32,19,0,0,0,0,1,0,0,0,186
2023-01-10 12:45:00,67,22,0,19,15,16,0,0,0,0,1,0,0,0,140
2023-01-10 13:00:00,72,35,0,26,33,14,0,0,0,0,1,0,0,0,181
2023-01-10 13:15:00,92,50,0,23,34,16,0,0,0,0,1,0,0,0,216
2023-01-10 13:30:00,67,26,0,20,27,13,0,0,0,0,1,0,0,0,154
2023-01-10 13:45:00,60,29,0,10,25,19,0,0,0,0,1,0,0,0,144
2023-01-10 14:00:00,58,27,0,13,24,5,0,0,0,0,1,0,0,0,128
2023-01-11 11:30:00,35,51,29,16,12,16,0,0,0,2,0,0,0,0,161
2023-01-11 11:45:00,47,64,30,23,24,15,0,0,0,2,0,0,0,0,205
2023-01-11 12:00:00,62,62,35,26,28,27,0,0,0,2,0,0,0,0,242
2023-01-11 12:15:00,63,70,37,40,31,20,0,0,0,3,0,0,0,0,264
2023-01-11 12:30:00,60,52,32,33,24,20,0,0,0,3,0,0,0,0,224
2023-01-11 12:45:00,40,51,32,23,25,20,0,0,0,2,0,0,0,0,193
2023-01-11 13:00:00,30,50,35,20,16,20,0,0,0,3,0,0,0,0,174
2023-01-11 13:15:00,35,40,19,14,17,17,0,0,0,1,0,0,0,0,143
2023-01-11 13:30:00,40,41,30,7,15,18,0,0,0,5,7,0,0,0,163
2023-01-11 13:45:00,32,23,12,17,11,9,0,0,0,3,9,0,0,0,116
2023-01-11 14:00:00,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4
2023-01-12 11:30:00,76,50,10,18,14,12,0,0,0,0,0,0,0,0,180
2023-01-12 11:45:00,75,39,17,29,24,16,0,0,0,1,0,0,0,0,201
2023-01-12 12:00:00,69,40,15,24,26,17,0,0,0,1,0,0,0,0,192
2023-01-12 12:15:00,55,32,10,33,33,10,0,0,0,0,1,0,0,0,174
2023-01-12 12:30:00,60,44,14,22,28,21,0,0,0,3,13,0,0,0,205
2023-01-12 12:45:00,50,46,18,20,24,16,0,0,0,1,0,0,0,0,175
2023-01-12 13:00:00,52,35,13,21,18,23,0,0,0,1,0,0,0,0,163
2023-01-12 13:15:00,41,18,8,18,21,8,0,0,0,0,0,0,0,0,114
2023-01-12 13:30:00,47,27,9,15,29,18,0,0,0,0,0,0,0,0,145
2023-01-12 13:45:00,56,58,27,8,24,22,0,0,0,3,4,0,0,0,202
2023-01-12 14:00:00,12,14,2,0,8,5,0,0,0,1,5,0,0,0,47
2023-01-13 11:30:00,65,13,0,31,12,8,0,0,0,0,0,0,0,0,129
2023-01-13 11:45:00,72,21,0,21,23,19,0,0,0,0,1,0,0,0,157
2023-01-13 12:00:00,100,19,0,44,35,25,0,0,0,0,1,0,0,0,224
