datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-01-09 13:45:00,46,63,22,11,25,8,0,0,0,0,0,0,0,0,175
2023-01-09 14:00:00,19,42,15,11,15,5,0,0,0,0,0,0,0,0,107
2023-01-10 11:30:00,58,25,2,16,33,10,0,0,0,0,0,0,0,0,144
2023-01-10 11:45:00,76,21,1,16,31,14,0,0,0,0,0,0,0,0,159
2023-01-10 12:00:00,80,39,4,27,55,12,0,0,0,0,0,0,0,0,217
2023-01-10 12:15:00,73,37,3,21,34,7,0,0,0,0,0,0,0,0,175
2023-01-10 12:30:00,82,47,5,18,44,12,0,0,0,0,0,0,0,0,208
2023-01-10 12:45:00,56,30,4,19,29,7,0,0,0,0,0,0,0,0,145
2023-01-10 13:00:00,76,30,14,19,31,14,0,0,0,0,0,0,0,0,184
2023-01-10 13:15:00,98,41,3,35,34,21,0,0,0,0,0,0,0,0,232
2023-01-10 13:30:00,59,30,0,11,27,14,0,0,0,0,0,0,0,0,141
2023-01-10 13:45:00,76,43,0,14,29,9,0,0,0,0,0,0,0,0,171
2023-01-10 14:00:00,64,26,0,19,27,9,0,0,0,0,0,0,0,0,145
2023-01-11 11:30:00,25,30,12,9,18,8,0,0,0,0,0,0,0,0,102
2023-01-11 11:45:00,53,48,8,18,23,10,0,0,0,0,0,0,0,0,160
2023-01-11 12:00:00,34,48,13,16,34,2,0,0,0,0,0,0,0,0,147
2023-01-11 12:15:00,50,62,13,20,30,10,0,0,0,0,0,0,0,0,185
2023-01-11 12:30:00,64,65,9,26,40,7,0,0,0,0,0,0,0,0,211
2023-01-11 12:45:00,61,61,14,28,44,15,0,0,0,0,0,0,0,0,223
2023-01-11 13:00:00,57,54,12,21,29,8,0,0,0,0,0,0,0,0,181
2023-01-11 13:15:00,52,68,11,14,32,14,0,0,0,0,0,0,0,0,191
2023-01-11 13:30:00,49,62,12,25,23,9,0,0,0,0,0,0,0,0,180
2023-01-11 13:45:00,73,66,11,25,37,18,0,0,0,0,0,0,0,0,230
2023-01-11 14:00:00,53,66,11,21,19,10,0,0,0,0,0,0,0,0,180
2023-01-12 11:30:00,41,21,5,19,31,6,0,0,0,0,0,0,0,0,123
2023-01-12 11:45:00,64,34,8,30,28,11,0,0,0,0,0,0,0,0,175
2023-01-12 12:00:00,73,42,8,36,40,8,0,0,0,0,0,0,0,0,207
2023-01-12 12:15:00,67,25,6,28,39,7,0,0,0,0,0,0,0,0,172
2023-01-12 12:30:00,75,42,9,25,44,8,0,0,0,0,0,0,0,0,203
2023-01-12 12:45:00,40,17,5,12,27,4,0,0,0,0,0,0,0,0,105
2023-01-12 13:00:00,53,16,15,21,20,5,0,0,0,0,0,0,0,0,130
2023-01-12 13:15:00,46,24,10,20,17,6,0,0,0,0,0,0,0,0,123
2023-01-12 13:30:00,43,23,6,22,20,9,0,0,0,0,0,0,0,0,123
2023-01-12 13:45:00,60,34,10,26,29,9,0,0,0,0,0,0,0,0,168
2023-01-12 14:00:00,51,23,3,25,17,5,0,0,0,0,0,0,0,0,124
2023-01-13 11:30:00,31,12,4,8,9,9,0,0,0,0,0,0,0,0,73
2023-01-13 11:45:00,40,21,2,14,17,10,0,0,0,0,0,0,0,0,104
2023-01-13 12:00:00,59,40,7,18,31,18,0,0,0,0,0,0,0,0,173
2023-01-13 12:15:00,32,22,4,11,17,7,0,0,0,0,0,0,0,0,93
2023-01-13 12:30:00,51,17,1,15,29,6,0,0,0,0,0,0,0,0,119
2023-01-13 12:45:00,68,34,3,25,33,9,0,0,0,0,0,0,0,0,172
2023-01-13 13:00:00,50,41,5,15,22,15,0,0,0,0,0,0,0,0,148
2023-01-13 13:15:00,50,34,4,20,27,10,0,0,0,0,0,0,0,0,145
2023-01-13 13:30:00,62,29,6,25,19,12,0,0,0,0,0,0,0,0,153
2023-01-13 13:45:00,29,16,2,4,12,8,0,0,0,0,0,0,0,0,71
2023-01-13 14:00:00,16,6,0,6,6,4,0,0,0,0,0,0,0,0,38
2023-01-16 11:30:00,37,34,4,17,13,6,0,0,0,0,0,0,0,0,111
2023-01-16 11:45:00,38,25,10,12,20,6,0,0,0,0,0,0,0,0,111
